Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Fundamentals of Connected Vehicle (V2X) Technology,NG-5.5-AU-02225-2024-V1-ASDC,This NOS unit is about designing smart systems for communication between vehicle and everything around (V2X).  It’s also about skilling on designing fail-safe systems with good understanding of associated hazards and the methodical risk mitigation process in vehicle development.,Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Automotive Product Designing,,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02225-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/Q%20File_ConnectedVehicleTech%20%28V2X%29_31dec23-v1.pdf,836
Fundamentals of Electric Vehicle Battery Pack Design,NG-5.5-AU-02231-2024-V1-ASDC,"This NOS unit is about preparing for the most discussed field of electric vehicles and the emerging trends in battery usage in the age of circular economy. This NOS unit is about designing EV battery pack in sustainable-optimal-durable-economical manner. It’s as well about skilling on designing, analyzing, validating, maintaining and disposing battery pack and associated systems like charging station, on-board charging and on-the-go charging mechanisms.",Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Automotive Product Designing,,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02231-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/Q%20File_EV%20BatteryPack-design_27feb24-final.pdf,837
Fundamentals of Electric Vehicle Powertrain Design,NG-5.5-AU-02232-2024-V1-ASDC,"This NOS unit is about preparing for the fast evolving field of electric vehicle powertrain and its universal design for alternative fuel mobility. This NOS unit is about designing EV powertrain’s mechanical and electromechanical components in a frugal-optimal-reliable manner. It’s as well about skilling on designing, simulating and validating powertrain parts and sub-units.",Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Automotive Product Designing,,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02232-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/Q%20File_EV%20PowerTrain-design_27feb24-final.pdf,838
Fundamentals of Low Cost Automation in Manufacturing Process,NG-5.5-AU-02226-2024-V1-ASDC,"An Individual Primary responsibility is to design, implement, and maintain cost-effective automation solutions to optimize production processes & will collaborate with cross-functional teams, including production, engineering, and maintenance, to identify opportunities for automation and implement solutions that enhance efficiency and reduce production costs.",Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production Engineering,,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02226-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-NOS-Low%20Cost%20Automation.pdf,839
IIOT Application in Cyber Security (Manufacturing),NG-5.5-AU-02230-2024-V1-ASDC,"An Individual at this job will be Ensuring Cybersecurity by Develop and enforce cybersecurity policies, protocols, and standards for IIoT applications in manufacturing environments.",Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production Engineering,,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02230-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-NOS-IIOT-Cyber%20Secured%20Manufacturing.pdf,840
IIOT Application in Predictive Maintenance (Manufacturing),NG-5.5-AU-02229-2024-V1-ASDC,"An individual at this job is responsible for Monitoring and analyzing real-time data through collect, process, and interpret data from various sensors and devices connected to the IIoT network to identify patterns and trends that could impact the manufacturing process.",Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production Engineering,,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02229-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-NOS-IIOT-Manufacturing%20Predicitive%20Maintenance.pdf,841
Mushroom Grower (Small Unit),QG-02-AG-01000-2023-V1-ASCI & Version 1.0,"A Mushroom Grower (Small Unit) performs various activities in the process of cultivating mushroom such as preparing mushroom compost, spawning, maintenance, harvesting and post-harvest processing of mushroom.",Agriculture,Level 2,210 Hours,210 Hours,Version ,29 Sep 2023,29 Sep 2026,Agriculture Skill Council of India (ASCI),"Agriculture Skill Council of India
Unit No. 101, First Floor, Greenwoods Plaza, Block 'B', Greenwoods City, Sector 45, Gurugram -122009, Haryana.",Agri-Entrepreneurship & Rural Enterprises,"Mushroom Grower (Small Unit), Micro-Entrepreneurial role",General Qualification,N.A.,"{""Theory"":""110"",""Practical"":""100"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",QG-02-AG-01000-2023-V1-ASCI & Version 1.0,https://www.nqr.gov.in/qualification/file/Mushroom%20Grower%20%28Small%20Unit%29%20Template-for-STT-qualifications-NCVET%20Mushroom.pdf,842
Honey bee Farmer (Small Unit),QG-02-AG-01001-2023-V1-ASCI & Version 1.0,"A Honey bee Farmer (Small Unit) is responsible for carrying out beekeeping operations which include preparing for and setting up beehives; procuring and introducing bees in hives, and maintaining the bees and beehives. The individual is also responsible for harvesting, processing and marketing honey and related produce.",Agriculture,Level 2,210 Hours,210 Hours,Version ,29 Sep 2023,29 Sep 2026,Agriculture Skill Council of India (ASCI),"Agriculture Skill Council of India
Unit No. 101, First Floor, Greenwoods Plaza, Block 'B', Greenwoods City, Sector 45, Gurugram -122009, Haryana",Beekeeping,"Honey bee Farmer (Small Unit), Honey Bee pollinator",General Qualification,N.A.,"{""Theory"":""110"",""Practical"":""100"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",QG-02-AG-01001-2023-V1-ASCI & Version 1.0,https://www.nqr.gov.in/qualification/file/Honey%20bee%20Farmer%20%28Small%20Unit%29%20Template-for-STT-qualifications-NCVET.pdf,843
Garden-Keeper,QG-02-AG-01004-2023-V1-ASCI,"A Garden-Keeper is responsible for planting and maintaining lawns and gardens in private and public properties such as homes, parks and hotels. The individual uses a variety of tools and equipment for this purpose and carries out their basic repair and maintenance also",Agriculture,Level 2,210 Hours,210 Hours,Version ,29 Sep 2023,29 Sep 2026,Agriculture Skill Council of India (ASCI),"Agriculture Skill Council of India
 Unit No. 101, First Floor, Greenwoods Plaza, Block 'B', Greenwoods City, Sector 45, Gurugram -122009, Haryana","Landscaping, Gardening & Urban Farming",Assistant Gardener,General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""110"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",QG-02-AG-01004-2023-V1-ASCI,https://www.nqr.gov.in/qualification/file/Garden-keeper%20Template-for-STT-qualifications-NCVET.pdf,844
Additive Manufacturing,QG-4.5-AU-01822-2024-V1-ASDC,The individual in this job is responsible for preparing object model of the part/product and manufacturing of parts/product on 3D printing machine.,Automotive,Level 4.5,510 Hours,510 Hours,Version ,06 Feb 2024,06 Feb 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,,Additive Manufacturing Engineer,Future Skills Qualification,N.A.,"{""Theory"":""84"",""Practical"":""84"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""342""}",QG-4.5-AU-01822-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Additive%20Manufacturing.pdf_.pdf,845
Kitchen Steward,QG-02-TH-01998-2024-V1-THSC,"The individual at work cleans and sanitizes the kitchen, kitchen equipment, and appliances, and assists in maintaining inventory of kitchenware, dishware, and kitchen supplies for smooth kitchen operations.",Tourism & Hospitality,Level 2,240 Hours,240 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Food Production and Kitchen,Kitchen Steward --> Kitchen Stewarding Shift Incharge--> Kitchen Stewarding Manager,Upskilling Qualification,N.A.,"{""Theory"":""92"",""Practical"":""88"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",QG-02-TH-01998-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Kitchen%20Steward%20ENG.pdf,846
Autobody Repair,QG-4.5-AU-01831-2024-V1-ASDC,"An Autobody Repair is responsible for replacing, removing or re installing autobody parts by following the standards of the organization.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,06 Feb 2024,06 Feb 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,,,Future Skills Qualification,N.A.,"{""Theory"":""84"",""Practical"":""84"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""342""}",QG-4.5-AU-01831-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_ASDC_Autobody%20repair.pdf,847
Housekeeping Manager,QG-5.5-TH-02022-2024-V1-THSC,"The individual at work manages the operations of the housekeeping department, human resources, inventory, and control costs as per organizational standards.",Tourism & Hospitality,Level 5.5,690 Hours,690 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Housekeeping,Housekeeping Manager-->Executive Housekeeper--Corporate Housekeeper,General Qualification,N.A.,"{""Theory"":""290"",""Practical"":""290"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""110""}",QG-5.5-TH-02022-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Housekeeping%20Manager%20ENG.pdf,848
Manufacturing Team Challenge,QG-4.5-AU-01821-2024-V1-ASDC,"A Manufacturing Team Challenge is responsible for designing, manufacturing, fitting, assembling, testing and commissioning components by following the standards of the organization.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,06 Feb 2024,06 Feb 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,,,Future Skills Qualification,N.A.,"{""Theory"":""84"",""Practical"":""84"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""342""}",QG-4.5-AU-01821-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_ASDC_Manufacturing_Team_Challenge.pdf,849
Automobile Technology,QG-4.5-AU-01832-2024-V1-ASDC,"The Light Vehicle Automotive Technician will work in the service, diagnosis and repair sector of light vehicles in either independent workshops or the vehicle manufacturers’ affiliated workshops. The Light Vehicle Automotive Technician will be able to service, diagnose, and repair a range of light vehicles using service and repair information, and a wide range of diagnostic and service tools.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,06 Feb 2024,06 Feb 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,,Lead Technician,Future Skills Qualification,N.A.,"{""Theory"":""84"",""Practical"":""84"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""342""}",QG-4.5-AU-01832-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Automobile%20Technology.pdf,850
Car Painting,QG-4.5-AU-01833-2024-V1-ASDC,"Car painters (refinishers) are responsible for reinstating the pre-accident paint finish to cars after the structure and/or the panels have been repaired or replaced. They may also be asked to completely repaint a whole vehicle either to change its colour or reinstate its newness. Car painters may also become involved in matching colours to an original colour no longer available or to colours that prove difficult to match. A car painter must match the colour, shade, and texture of the adjoining panels that are not being painted.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,06 Feb 2024,06 Feb 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,,"Painting lead technician
Painting master technician",Future Skills Qualification,N.A.,"{""Theory"":""84"",""Practical"":""84"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""342""}",QG-4.5-AU-01833-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Car%20Painting.pdf,851
Industrial Control,QG-4.5-AU-01813-2024-V1-ASDC,"Industrial Control contains elements of both electrical installations and automation installations, with greater emphasis on automation installation. The industrial control practitioner requires a wide range of technical skills, such as installing conduits, cables, instruments, I/O devices and Programmable Logic Controllers. The industrial control practitioner also designs electrical circuits, programs Programmable Logic Controllers, parametrizes bus systems and configures Human Machine Interfaces.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,06 Feb 2024,06 Feb 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,,Engineer Supervisor,Future Skills Qualification,N.A.,"{""Theory"":""84"",""Practical"":""84"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""342""}",QG-4.5-AU-01813-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Industrial%20Control.pdf,852
Industry 4.0,QG-4.5-AU-01820-2024-V1-ASDC,"The role of the Digital Production Systems Technician is to understand the business case for enhancement, and to design and implement technical responses accordingly. Assembled and commissioned hardware in virtual and real context using various digital tools and technology provide the basis for programming, and the design and implementation of cyber security measures on real and virtual production processes.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,06 Feb 2024,06 Feb 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,,Engineer Supervisor,Future Skills Qualification,N.A.,"{""Theory"":""84"",""Practical"":""84"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""342""}",QG-4.5-AU-01820-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Industry%204.0.pdf,853
